Day fraction since midnight on 	photometer (volts)	photometer (mg/L)	Source pressure (Pa)	Outlet Turb (NTU)	Inlet Turb (NTU)	Pump Control ()	Pump control backwash ()
0.625607981	10.20273018	10.20273018	116569.4609	0.909999967	4.046999931	0.500526316	0.805894737
0.625665757	10.20263386	10.20263386	116573.7969	0.970000029	3.790999889	0.500526316	0.805894737
previous file was going straight to drain.							
0.625723627	10.20243549	10.20243549	116580.9609	0.99000001	3.648999929	0.500526316	0.805894737
0.625781515	10.20257759	10.20257759	116578.6016	0.730000019	3.743999958	0.500526316	0.805894737
0.625839394	10.20251846	10.20251846	116587.9297	0.519999981	3.786000013	0.500526316	0.805894737
0.625897278	10.20262909	10.20262909	116589.1641	0.400000006	3.813999891	0.500526316	0.805894737
0.625955159	10.20256615	10.20256615	116592.0391	0.340000004	3.913000107	0.500526316	0.805894737
0.626013049	10.20254421	10.20254421	116589.8359	0.319999993	4.022999764	0.500526316	0.805894737
0.626070921	10.20263004	10.20263004	116588.2891	0.310000002	4.09800005	0.500526316	0.805894737
0.6261288	10.20258427	10.20258427	116595.7578	0.300000012	4.267000198	0.500526316	0.805894737
0.626186691	10.20244122	10.20244122	116599.9453	0.300000012	4.381000042	0.500526316	0.805894737
0.62624467	10.20256138	10.20256138	116600.3828	0.289999992	4.522999764	0.500526316	0.805894737
0.626302441	10.20254135	10.20254135	116611.3984	0.289999992	4.630000114	0.500526316	0.805894737
0.626360399	10.20258522	10.20258522	116596.5	0.280000001	4.670000076	0.500526316	0.805894737
0.626418265	10.20247459	10.20247459	116624.7344	0.289999992	4.598999977	0.500526316	0.805894737
0.62647615	10.20251179	10.20251179	116607.1641	0.289999992	4.531000137	0.500526316	0.805894737
0.626534033	10.20263577	10.20263577	116618.5391	0.300000012	4.46600008	0.500526316	0.805894737
0.6265919	10.20261192	10.20261192	116617.1094	0.300000012	4.407999992	0.500526316	0.805894737
0.626649798	10.20252228	10.20252228	116628.2969	0.310000002	4.345999718	0.500526316	0.805894737
0.626707703	10.20257187	10.20257187	116617.4063	0.310000002	4.279999733	0.500526316	0.805894737
0.626765522	10.20257282	10.20257282	116611.0703	0.319999993	4.252999783	0.500526316	0.805894737
